SpecimenID,Species,Treatment,Number,StartDate,EndDate,Duration,Inoculant,InitialDryWeight,PostInoculationWeight,PostInnocDryWeight,PostExtractionWeight,ImpregnatedOilWeight,Retention.kg.m3,WoodWeight,RemainingOilWeight.g,EndWeightMinusWoodWeight,OilRemainingPerc,MCPostInoculation,RelativeMassLoss,OilExtract.g,OilExtract_rel,OilContent ,PetriDish
B-DM-MB-1,B,DM,1,13/07/2016,02/11/2016,16,pl,1.6776,2.1112,1.5016,1.1203,0.648,432,1.0296,0.472,0.0907,0.73,0.41,0.1,0.38,0.25,0.34,plo1
B-DM-MB-10,B,DM,10,13/07/2016,02/11/2016,16,tv,1.6966,2.1996,1.4532,1.1034,0.681,454,1.0156,0.4376,0.0878,0.64,0.51,0.14,0.35,0.24,0.32,plo2
B-DM-MB-11,B,DM,11,13/07/2016,02/11/2016,16,tv,1.6703,2.1793,1.4813,1.0812,0.697,465,0.9733,0.508,0.1079,0.73,0.47,0.11,0.4,0.27,0.37,plo3
B-DM-MB-12,B,DM,12,13/07/2016,02/11/2016,16,tv,1.6715,2.1049,1.5152,1.1111,0.654,436,1.0175,0.4977,0.0936,0.76,0.39,0.09,0.4,0.27,0.36,plo4
B-DM-MB-13,B,DM,13,13/07/2016,02/11/2016,16,tv,1.6945,2.12,1.4805,1.0773,0.673,449,1.0215,0.459,0.0558,0.68,0.43,0.13,0.4,0.27,0.37,plo5
B-DM-MB-14,B,DM,14,13/07/2016,02/11/2016,16,tv,1.6578,2.1165,1.4771,1.086,0.657,438,1.0008,0.4763,0.0852,0.72,0.43,0.11,0.39,0.26,0.36,plo6
B-DM-MB-15,B,DM,15,13/07/2016,02/11/2016,16,tv,1.6721,1.7857,1.3309,1.1771,0.668,445,1.0041,0.3268,0.173,0.49,0.34,0.2,0.15,0.12,0.13,plo7
B-DM-MB-16,B,DM,16,13/07/2016,02/11/2016,16,tv,1.6697,2.1595,1.4747,1.1022,0.662,441,1.0077,0.467,0.0945,0.71,0.46,0.12,0.37,0.25,0.34,plo8
B-DM-MB-17,B,DM,17,28/07/2016,17/11/2016,16,pl,1.5506,2.0535,1.4515,1.1092,0.635,423,0.9156,0.5359,0.1936,0.84,0.41,0.06,0.34,0.24,0.31,tv1
B-DM-MB-18,B,DM,18,28/07/2016,17/11/2016,16,pl,1.6728,2.1836,1.4485,1.0881,0.677,451,0.9958,0.4527,0.0923,0.67,0.51,0.13,0.36,0.25,0.33,tv2
B-DM-MB-19,B,DM,19,28/07/2016,17/11/2016,16,tv,1.6619,2.1545,1.466,1.0896,0.67,447,0.9919,0.4741,0.0977,0.71,0.47,0.12,0.38,0.26,0.35,tv3
B-DM-MB-2,B,DM,2,13/07/2016,02/11/2016,16,pl,1.6543,2.0619,1.4686,1.0581,0.702,468,0.9523,0.5163,0.1058,0.74,0.4,0.11,0.41,0.28,0.39,tv4
B-DM-MB-20,B,DM,20,28/07/2016,17/11/2016,16,tv,1.6144,2.085,1.4578,1.0709,0.636,424,0.9784,0.4794,0.0925,0.75,0.43,0.1,0.39,0.27,0.36,tv5
B-DM-MB-21,B,DM,21,29/07/2016,23/09/2016,8,tv,1.71,2.0388,1.6143,1.0524,0.674,449,1.036,0.5783,0.0164,0.86,0.26,0.06,0.56,0.35,0.53,tv6
B-DM-MB-22,B,DM,22,29/07/2016,23/09/2016,8,tv,1.6338,1.9538,1.5294,1.0313,0.628,419,1.0058,0.5236,0.0255,0.83,0.28,0.06,0.5,0.33,0.48,tv7
B-DM-MB-23,B,DM,23,29/07/2016,23/09/2016,8,pl,1.7173,2.0337,1.6893,1.0969,0.635,423,1.0823,0.607,0.0146,0.96,0.2,0.02,0.59,0.35,0.54,tv8
B-DM-MB-24,B,DM,24,29/07/2016,23/09/2016,8,pl,1.7285,2.0478,1.6259,1.0439,0.702,468,1.0265,0.5994,0.0174,0.85,0.26,0.06,0.58,0.36,0.56,plo9
B-DM-MB-25,B,DM,25,04/08/2016,29/09/2016,8,pl,1.7293,2.0841,1.5667,1.0764,0.676,451,1.0533,0.5134,0.0231,0.76,0.33,0.09,0.49,0.31,0.46,plo10
B-DM-MB-26,B,DM,26,04/08/2016,29/09/2016,8,pl,1.7137,2.1654,1.56,1.0919,0.674,449,1.0397,0.5203,0.0522,0.77,0.39,0.09,0.47,0.3,0.43,tv9
B-DM-MB-27,B,DM,27,04/08/2016,29/09/2016,8,pl,1.5851,1.9546,1.4585,0.9877,0.635,423,0.9501,0.5084,0.0376,0.8,0.34,0.08,0.47,0.32,0.48,tv10
B-DM-MB-28,B,DM,28,04/08/2016,29/09/2016,8,pl,1.6101,2.0313,1.4697,1.0436,0.602,401,1.0081,0.4616,0.0355,0.77,0.38,0.09,0.43,0.29,0.41,tv11
B-DM-MB-29,B,DM,29,04/08/2016,29/09/2016,8,pl,1.6792,2.0884,1.5775,1.0798,0.672,448,1.0072,0.5703,0.0726,0.85,0.32,0.06,0.5,0.32,0.46,tv12
B-DM-MB-3,B,DM,3,13/07/2016,02/11/2016,16,pl,1.6162,2.0028,1.4669,1.1078,0.632,421,0.9842,0.4827,0.1236,0.76,0.37,0.09,0.36,0.24,0.32,plo11
B-DM-MB-30,B,DM,30,04/08/2016,29/09/2016,8,pl,1.6243,2.0613,1.5395,1.0468,0.614,409,1.0103,0.5292,0.0365,0.86,0.34,0.05,0.49,0.32,0.47,plo12
B-DM-MB-31,B,DM,31,04/08/2016,29/09/2016,8,pl,1.7029,2.1486,1.5973,1.0518,0.707,471,0.9959,0.6014,0.0559,0.85,0.35,0.06,0.55,0.34,0.52,plo13
B-DM-MB-32,B,DM,32,04/08/2016,29/09/2016,8,pl,1.7115,2.1377,1.5818,1.0477,0.706,471,1.0055,0.5763,0.0422,0.82,0.35,0.08,0.53,0.34,0.51,plo14
B-DM-MB-33,B,DM,33,04/08/2016,29/09/2016,8,tv,1.727,2.1848,1.5385,1.0867,0.676,451,1.051,0.4875,0.0357,0.72,0.42,0.11,0.45,0.29,0.42,plo15
B-DM-MB-34,B,DM,34,04/08/2016,29/09/2016,8,tv,1.7166,2.1716,1.5235,1.0824,0.664,443,1.0526,0.4709,0.0298,0.71,0.43,0.11,0.44,0.29,0.41,plo16
